;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
John Kerry (D);0.11422384448975806;0.1092871952746011;0.10196314607318216;0.09203703407760577;0.11357245597640432;0.11289298185026841;0.10947831465158858;0.11866503414583765;0.08497961275600543;0.09667736378603557;0.13550475226873054;0.12610399241059495;0.09177415776416431;0.11599965325604054;0.15299482976754764;0.1134386027326448;0.11413976342853832;0.09302175284574396;0.12612223659622848;0.10762358775860223
Debbie Stabenow (D);0.09596235157048927;0.09507197386666194;0.103893764974889;0.08154871193710901;0.09661004140273972;0.11981424365697305;0.12692023785263817;0.1058742028013206;0.09052232919361033;0.0957565522835558;0.10735460415808998;0.12330109674917833;0.08138558244776535;0.0979794062423957;0.13295172912890085;0.09585155703307274;0.10686497329085196;0.0897243369963592;0.12330535455611365;0.09300263772673886
Carl Levin (D);0.12343673092933637;0.12343640018594684;0.10373853786638018;0.08595071458616474;0.11045714695958038;0.11004363982283347;0.11227984629909071;0.1259952869145085;0.08070134635004969;0.09420469882080859;0.12082129914783403;0.12941386467036098;0.09044044089900051;0.11607241866389079;0.16387412410736757;0.10249028498055288;0.11296889410490718;0.09386136760559266;0.1300986070177072;0.11233341484508627
Amy Klobuchar (D);0.11745222272888486;0.1015626072214226;0.09688040353362426;0.08464084661564852;0.10723774076341103;0.11155529018733903;0.11232300012567295;0.11561696724914414;0.11038491387338956;0.08586807298605265;0.12450124016674924;0.12931451724863835;0.08430679208423583;0.10130702137504588;0.1519694184758437;0.09990355160563874;0.10782283254321506;0.08485157447849606;0.129917989472336;0.1079669562445152
Al Franken (D);0.1039818294091723;0.11339419839263548;0.09421857430940608;0.0786030029966675;0.09034585040213067;0.11621625007404016;0.10397353141971302;0.11640103248707129;0.0909552958180814;0.07921726351936546;0.12274451759297204;0.11969493718166155;0.07685729182645606;0.10913257468589405;0.13414498264808486;0.09472572404597611;0.10475886674954811;0.0786419139907373;0.11696707301225728;0.08367238642767351
Roger Wicker (R);0.1131455674394655;0.09108885489038934;0.09396636971928779;0.07841923156250027;0.09924448122590337;0.11682136002956099;0.138600060527044;0.11297069678883556;0.08067123458869509;0.08150113993680413;0.1170676081247867;0.10972979017901491;0.0824801418220456;0.10779163894200719;0.14496983138363706;0.10335791308692693;0.10809606795808066;0.10756494959887072;0.12247028504560084;0.09581064726907293
Thad Cochran (R);0.10201302866770222;0.09010083122378931;0.09037884166303847;0.07551384119681873;0.09659045318997361;0.10149314255448691;0.10382935650279493;0.10558882216788007;0.07454276815143646;0.07918476534171717;0.11214314886319693;0.10673844296967654;0.07989480810261299;0.0939108885947689;0.13403059674552487;0.09351961775065327;0.10426366622609673;0.08630797244723626;0.11171233620831439;0.08754463831256032
Claire McCaskill (D);0.11362973196960571;0.10030305464833564;0.09296628232480374;0.0799046528551787;0.10643160487658099;0.12063312785323221;0.11333822844972724;0.11431712715808373;0.09099267002217112;0.07934328385674785;0.12210017397244963;0.12060548797579163;0.08166293718939804;0.105002472034883;0.15827587185800565;0.09418865738417811;0.10833840759073801;0.08441476201164091;0.12938025248652257;0.08708712469133947
Roy Blunt (R);0.1002059981329521;0.0937228347486447;0.0913717196178559;0.07982299738791657;0.09920181865787643;0.11370208131550738;0.10048301247718408;0.09869931320287305;0.0739409667123704;0.094363147264052;0.11689456335902085;0.10435451183047714;0.0834775171013402;0.09868889371034548;0.1342380482170608;0.08959355043972396;0.10396630851158645;0.08929199610101488;0.11815812958339231;0.09683460285109592
Jon Tester (D);0.09369008640617187;0.09289906519909188;0.0813517511689449;0.06979892103095647;0.08784380838372291;0.1115320408309711;0.10644126093147749;0.09303524090685139;0.0790774100567505;0.07513363755598643;0.1006046990973821;0.10436184367856548;0.07691459740894585;0.0902955630449602;0.12922831086809;0.08317407798345611;0.10111180594765054;0.0790242141317864;0.10805331892554018;0.07941217393821899
